HS_2534,SC_2534,BAp_2534,BAo_2534,GD_2534,White_2534,Black_2534,Hisp_2534,NE_2534,MA_2534,Midwest_2534,South_2534,Mountain_2534,Pacific_2534,poor_2534,mid_2534,rich_2534,nokids_HS_2534,nokids_SC_2534,nokids_BAp_2534,nokids_BAo_2534,nokids_GD_2534,kids_HS_2534,kids_SC_2534,kids_BAp_2534,kids_BAo_2534,kids_GD_2534,nokids_poor_2534,nokids_mid_2534,nokids_rich_2534,kids_poor_2534,kids_mid_2534,kids_rich_2534,score,pesos,MP,classificacao
0,0,0.5826847429340452,0.5666234348219533,0.6232560327746626,0.6262019760882166,0.3928774848903957,0.6047959402892891,0,0,0.6055689603699992,0,0,0.5581111981232817,0.4250974866145632,0,0,0,0.3658713372758481,0,0.3722162412963226,0,0.8179595519886032,0,0,0.9399058101648491,0,0,0.37063356024344496,0.4760499809731106,0.6619351998980493,0,0,8.98979,19.81059761397362,0.45378691623411466,IMPROVAVEL
0.5776576491728649,0.6065432288042463,0.5826847429340452,0.5666234348219533,0,0.6262019760882166,0,0.6047959402892891,0,0,0.6055689603699992,0,0,0.5581111981232817,0,0.6267862552529242,0.6785247813125838,0.3355989406837716,0,0,0,0.4445295091057513,0.8179595519886032,0,0.9470287171828076,0,0.9647748945420278,0.24425184511251516,0.37063356024344496,0.4760499809731106,0.6619351998980493,0,0.9613568109082448,12.257619,19.81059761397362,0.6187404963166763,PROVAVEL
0,0,0.5826847429340452,0,0,0,0.3928774848903957,0.6047959402892891,0.5207378187676579,0.5081680890358242,0,0,0.636489791900796,0,0.4250974866145632,0.6267862552529242,0,0.3355989406837716,0.3658713372758481,0,0,0.4445295091057513,0,0.8513239752341559,0.9470287171828076,0,0,0.24425184511251516,0,0,0,0.9048728922110071,0.9613568109082448,9.352472,19.81059761397362,0.47209439019664573,IMPROVAVEL
0.5776576491728649,0,0.5826847429340452,0.5666234348219533,0,0.6262019760882166,0.3928774848903957,0.6047959402892891,0,0,0,0,0,0,0.4250974866145632,0,0.6785247813125838,0.3355989406837716,0,0,0,0,0.8179595519886032,0.8513239752341559,0,0.9399058101648491,0.9647748945420278,0,0.37063356024344496,0,0.6619351998980493,0.9048728922110071,0,10.301469,19.81059761397362,0.5199978920743789,PROVAVEL
0,0.6065432288042463,0.5826847429340452,0,0,0.6262019760882166,0,0,0.5207378187676579,0.5081680890358242,0,0.6196116507374831,0.636489791900796,0.5581111981232817,0,0,0,0.3355989406837716,0.3658713372758481,0.3925518252623262,0,0.4445295091057513,0.8179595519886032,0.8513239752341559,0.9470287171828076,0,0,0.24425184511251516,0,0,0,0,0,9.057665,19.81059761397362,0.4572131127236201,IMPROVAVEL
0,0,0,0,0,0.6262019760882166,0.3928774848903957,0.6047959402892891,0,0.5081680890358242,0,0.6196116507374831,0,0.5581111981232817,0.4250974866145632,0,0.6785247813125838,0,0.3658713372758481,0.3925518252623262,0.3722162412963226,0.4445295091057513,0.8179595519886032,0.8513239752341559,0,0.9399058101648491,0.9647748945420278,0.24425184511251516,0.37063356024344496,0,0,0,0,10.177409,19.81059761397362,0.5137355873010744,PROVAVEL
0,0,0.5826847429340452,0,0,0,0.3928774848903957,0.6047959402892891,0,0.5081680890358242,0,0,0.636489791900796,0,0.4250974866145632,0.6267862552529242,0,0,0,0.3925518252623262,0,0.4445295091057513,0,0.8513239752341559,0.9470287171828076,0,0.9647748945420278,0.24425184511251516,0.37063356024344496,0.4760499809731106,0.6619351998980493,0,0,9.12998,19.81059761397362,0.4608634316796213,IMPROVAVEL
0.5776576491728649,0,0,0,0.6232560327746626,0.6262019760882166,0.3928774848903957,0.6047959402892891,0,0,0.6055689603699992,0.6196116507374831,0.636489791900796,0.5581111981232817,0.4250974866145632,0,0.6785247813125838,0,0,0,0.3722162412963226,0,0.8179595519886032,0,0.9470287171828076,0,0.9647748945420278,0,0.37063356024344496,0.4760499809731106,0.6619351998980493,0.9048728922110071,0,11.863665,19.81059761397362,0.5988544733063396,PROVAVEL
0.5776576491728649,0.6065432288042463,0,0,0,0,0.3928774848903957,0,0.5207378187676579,0.5081680890358242,0,0,0.636489791900796,0.5581111981232817,0.4250974866145632,0.6267862552529242,0.6785247813125838,0.3355989406837716,0,0.3925518252623262,0.3722162412963226,0.4445295091057513,0.8179595519886032,0.8513239752341559,0,0.9399058101648491,0.9647748945420278,0.24425184511251516,0.37063356024344496,0.4760499809731106,0.6619351998980493,0.9048728922110071,0,13.307599,19.81059761397362,0.6717414214002985,PROVAVEL
0.5776576491728649,0.6065432288042463,0,0,0,0.6262019760882166,0,0,0.5207378187676579,0.5081680890358242,0.6055689603699992,0,0.636489791900796,0,0.4250974866145632,0,0.6785247813125838,0.3355989406837716,0.3658713372758481,0.3925518252623262,0,0,0.8179595519886032,0,0.9470287171828076,0.9399058101648491,0.9647748945420278,0,0.37063356024344496,0,0.6619351998980493,0,0.9613568109082448,11.942608,19.81059761397362,0.6028393606650287,PROVAVEL
